"StateAbbr","Location.ID","Location","Value","Rank","Anomaly..1901.2000.base.period.","X1901.2000.Mean","StateDesc","County"
"CA","CA-069","San Benito County",59.0833,110,1.6743,57.4,"California","San Benito County"
"CA","CA-071","San Bernardino County",65.5167,74,0.4655,65.1,"California","San Bernardino County"
"CA","CA-073","San Diego County",62.4333,96,1.2083,61.2,"California","San Diego County"
"CA","CA-075","San Francisco County",58.0333,120,2.2606,55.8,"California","San Francisco County"
"CA","CA-077","San Joaquin County",63.0917,120,2.3419,60.7,"California","San Joaquin County"
"CA","CA-079","San Luis Obispo County",59.7333,110,1.7593,58,"California","San Luis Obispo County"
"CA","CA-081","San Mateo County",58.0417,123,2.6474,55.4,"California","San Mateo County"
"CA","CA-083","Santa Barbara County",58.5583,109,1.924,56.6,"California","Santa Barbara County"
"CA","CA-085","Santa Clara County",58.85,114,1.9635,56.9,"California","Santa Clara County"
"CA","CA-087","Santa Cruz County",58.5667,123,2.8989,55.7,"California","Santa Cruz County"
"CA","CA-089","Shasta County",55.2583,100,0.9262,54.3,"California","Shasta County"
"CA","CA-091","Sierra County",46.8083,77,0.4019,46.4,"California","Sierra County"
"CA","CA-093","Siskiyou County",48.9583,99,1.126,47.8,"California","Siskiyou County"
"CA","CA-095","Solano County",61.6667,117,1.9192,59.7,"California","Solano County"
"CA","CA-097","Sonoma County",57.8917,117,1.8058,56.1,"California","Sonoma County"
"CA","CA-099","Stanislaus County",62.3417,118,1.9643,60.4,"California","Stanislaus County"
"CA","CA-101","Sutter County",63.3583,111,1.5542,61.8,"California","Sutter County"
"CA","CA-103","Tehama County",58.8333,99,0.9239,57.9,"California","Tehama County"
"CA","CA-105","Trinity County",52.8917,105,1.3315,51.6,"California","Trinity County"
"CA","CA-107","Tulare County",54.0333,88,0.819,53.2,"California","Tulare County"
"CA","CA-109","Tuolumne County",49.8583,76,0.2361,49.6,"California","Tuolumne County"
"CA","CA-111","Ventura County",57.6917,100,1.6729,56,"California","Ventura County"
"CA","CA-113","Yolo County",62.4,113,1.5091,60.9,"California","Yolo County"
"CA","CA-115","Yuba County",60.8833,102,1.0631,59.8,"California","Yuba County"
"CA","CA-035","Lassen County",46.625,76,0.4916,46.1,"California","Lassen County"
"CA","CA-037","Los Angeles County",61.05,90,1.1728,59.9,"California","Los Angeles County"
"CA","CA-039","Madera County",56.25,96,1.1011,55.1,"California","Madera County"
"CA","CA-041","Marin County",56.9,122,2.0537,54.8,"California","Marin County"
"CA","CA-043","Mariposa County",55.0083,83,0.4856,54.5,"California","Mariposa County"
"CA","CA-045","Mendocino County",56.1083,114,1.2724,54.8,"California","Mendocino County"
"CA","CA-047","Merced County",62.9083,112,1.9018,61,"California","Merced County"
"CA","CA-049","Modoc County",46.725,93,1.1528,45.6,"California","Modoc County"
"CA","CA-051","Mono County",43.6,74,0.3448,43.3,"California","Mono County"
"CA","CA-053","Monterey County",59.1333,115,1.9262,57.2,"California","Monterey County"
"CA","CA-027","Inyo County",60.0167,76,0.4509,59.6,"California","Inyo County"
"CA","CA-029","Kern County",61.6583,95,1.1449,60.5,"California","Kern County"
"CA","CA-031","Kings County",64.3083,111,1.8277,62.5,"California","Kings County"
"CA","CA-033","Lake County",57.35,104,1.0278,56.3,"California","Lake County"
"CA","CA-017","El Dorado County",53.5667,74,0.2157,53.4,"California","El Dorado County"
"CA","CA-019","Fresno County",55.7833,102,1.385,54.4,"California","Fresno County"
"CA","CA-013","Contra Costa County",60.625,114,1.8008,58.8,"California","Contra Costa County"
"CA","CA-015","Del Norte County",52.125,101,1.2813,50.8,"California","Del Norte County"
"CA","CA-025","Imperial County",72.9167,76,0.7102,72.2,"California","Imperial County"
"CA","CA-021","Glenn County",60.4333,103,1.1475,59.3,"California","Glenn County"
"CA","CA-023","Humboldt County",54.475,112,1.5224,53,"California","Humboldt County"
"CO","CO-029","Delta County",46.6,96,1.571,45,"Colorado","Delta County"
"CO","CO-027","Custer County",41.4333,90,0.7916,40.6,"Colorado","Custer County"
"CO","CO-019","Clear Creek County",37.3,91,0.8633,36.4,"Colorado","Clear Creek County"
"CO","CO-021","Conejos County",40.175,84,0.8354,39.3,"Colorado","Conejos County"
"CO","CO-023","Costilla County",42.3333,100,1.3969,40.9,"Colorado","Costilla County"
"CO","CO-025","Crowley County",51.7917,96,0.946,50.8,"Colorado","Crowley County"
"CO","CO-053","Hinsdale County",35.9667,103,1.6201,34.3,"Colorado","Hinsdale County"
"CO","CO-055","Huerfano County",47.275,103,1.2724,46,"Colorado","Huerfano County"
"CO","CO-031","Denver County",49.8333,66,0.2065,49.6,"Colorado","Denver County"
"CO","CO-033","Dolores County",43.025,92,1.2476,41.8,"Colorado","Dolores County"
"CO","CO-035","Douglas County",46.2083,54,-0.2009,46.4,"Colorado","Douglas County"
"CO","CO-037","Eagle County",39.125,81,0.6448,38.5,"Colorado","Eagle County"
"CO","CO-039","Elbert County",46.95,68,0.2198,46.7,"Colorado","Elbert County"
"CO","CO-041","El Paso County",47.6833,88,0.6582,47,"Colorado","El Paso County"
"CO","CO-043","Fremont County",45.15,69,0.2043,44.9,"Colorado","Fremont County"
"CO","CO-045","Garfield County",43.0583,88,0.9671,42.1,"Colorado","Garfield County"
"CO","CO-047","Gilpin County",39.075,77,0.4836,38.6,"Colorado","Gilpin County"
"CO","CO-049","Grand County",37.025,87,0.7337,36.3,"Colorado","Grand County"
