Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
PA-041,Cumberland County,53.5333,117,2.4378,51.1
PA-043,Dauphin County,52.6917,118,2.4819,50.2
PA-045,Delaware County,55.5667,116,2.5217,53
PA-047,Elk County,47.575,115,2.0792,45.5
PA-049,Erie County,48.5167,109,1.9181,46.6
PA-051,Fayette County,51.65,118,1.921,49.7
PA-053,Forest County,48.2083,117,2.2698,45.9
PA-055,Franklin County,53.125,116,2.1557,51
PA-057,Fulton County,52.6,115,2.0617,50.5
PA-059,Greene County,52.9,119,2.1644,50.7
PA-061,Huntingdon County,51.375,110,1.5774,49.8
PA-063,Indiana County,49.825,109,1.6057,48.2
PA-065,Jefferson County,48.2417,110,1.8768,46.4
PA-067,Juniata County,52.1167,112,1.656,50.5
PA-069,Lackawanna County,47.1917,105,1.5163,45.7
PA-071,Lancaster County,53.5417,115,2.2957,51.2
PA-073,Lawrence County,50.1,101,1.2419,48.9
PA-075,Lebanon County,52.6833,117,2.5305,50.2
PA-077,Lehigh County,52.9167,121,3.1175,49.8
PA-079,Luzerne County,47.7167,99,1.292,46.4
PA-081,Lycoming County,48.2833,100,1.1718,47.1
PA-083,McKean County,46.4417,111,1.8852,44.6
PA-085,Mercer County,49.2083,110,1.9349,47.3
PA-087,Mifflin County,51.175,107,1.2926,49.9
PA-089,Monroe County,47.9583,109,1.9675,46
PA-091,Montgomery County,54.625,120,2.931,51.7
PA-093,Montour County,50.4,106,1.5524,48.8
PA-095,Northampton County,51.875,119,3.0369,48.8
PA-097,Northumberland County,50.6917,109,1.6951,49
PA-099,Perry County,52.6417,115,2.122,50.5
PA-101,Philadelphia County,56.4917,121,3.3373,53.2
PA-103,Pike County,47.6083,107,1.7857,45.8
PA-105,Potter County,45.7,83,0.5843,45.1
PA-107,Schuylkill County,50.1833,115,2.1112,48.1
PA-109,Snyder County,51.0333,107,1.3957,49.6
PA-111,Somerset County,49.15,120,2.217,46.9
PA-113,Sullivan County,45.775,101,1.1547,44.6
PA-115,Susquehanna County,46.6667,101,1.1518,45.5
PA-117,Tioga County,46.1583,94,0.9038,45.3
PA-119,Union County,50.15,107,1.303,48.8
PA-121,Venango County,48.9167,113,2.1083,46.8
PA-123,Warren County,47.2667,110,1.8475,45.4
PA-125,Washington County,52.3583,117,1.9156,50.4
PA-127,Wayne County,46.55,104,1.3528,45.2
PA-129,Westmoreland County,51.4417,108,1.5347,49.9
PA-131,Wyoming County,47.7083,105,1.5125,46.2
PA-133,York County,53.7833,118,2.6879,51.1
RI-001,Bristol County,51.575,108,1.7933,49.8
RI-003,Kent County,50.5667,108,2.1373,48.4
RI-005,Newport County,51.5,108,1.9567,49.5
RI-007,Providence County,49.8917,107,1.7122,48.2
RI-009,Washington County,51.2417,112,2.4949,48.7
SC-001,Abbeville County,63.875,127,2.5746,61.3
SC-003,Aiken County,66.2083,128,3.1932,63
SC-005,Allendale County,66.4167,126,2.6133,63.8
SC-007,Anderson County,63.3833,127,2.9332,60.5
SC-009,Bamberg County,66,126,2.3202,63.7
SC-011,Barnwell County,66.3333,127,2.8557,63.5
SC-013,Beaufort County,68.7167,128,3.0623,65.7
SC-015,Berkeley County,66.9583,127,2.8623,64.1
SC-017,Calhoun County,66.025,127,2.5947,63.4
SC-019,Charleston County,67.4917,125,2.7651,64.7
SC-021,Cherokee County,61.8583,127,2.4057,59.5
SC-023,Chester County,62.8667,126,2.1364,60.7
SC-025,Chesterfield County,64.2167,128,3.1671,61
SC-027,Clarendon County,65.8583,126,2.4357,63.4
SC-029,Colleton County,66.9333,127,2.762,64.2
SC-031,Darlington County,65.3083,128,3.2056,62.1
SC-033,Dillon County,65.375,128,3.2052,62.2
SC-035,Dorchester County,66.9917,127,2.9197,64.1
SC-037,Edgefield County,65.275,128,2.6877,62.6
SC-039,Fairfield County,63.6667,124,2.0301,61.6
SC-041,Florence County,65.8917,128,2.9875,62.9
SC-043,Georgetown County,65.5917,123,1.9085,63.7
SC-045,Greenville County,62.2417,128,2.992,59.2
SC-047,Greenwood County,64,126,2.3173,61.7
SC-049,Hampton County,66.6667,128,2.4767,64.2
SC-051,Horry County,65.2,125,2.3368,62.9
SC-053,Jasper County,67.95,128,2.8987,65.1
SC-055,Kershaw County,64.1083,126,2.5434,61.6
SC-057,Lancaster County,63.1,128,2.7706,60.3
SC-059,Laurens County,63.275,126,2.2478,61
SC-061,Lee County,64.95,128,2.7265,62.2
SC-063,Lexington County,65.2667,127,2.8556,62.4
SC-065,McCormick County,64.5833,127,2.439,62.1
SC-067,Marion County,65.7,128,2.8222,62.9
SC-069,Marlboro County,65.1,128,3.2823,61.8
SC-071,Newberry County,63.925,123,2.2864,61.6
SC-073,Oconee County,61.3833,122,1.9252,59.5
SC-075,Orangeburg County,66.2667,127,2.6708,63.6
SC-077,Pickens County,62.2333,127,3.0964,59.1
SC-079,Richland County,65.3,125,2.4563,62.8
SC-081,Saluda County,64.4333,126,2.4618,62
SC-083,Spartanburg County,62.6,128,2.7801,59.8
SC-085,Sumter County,65.2417,126,2.2784,63
SC-087,Union County,62.725,123,2.0653,60.7
SC-089,Williamsburg County,65.9417,126,2.4788,63.5
SC-091,York County,62.525,128,2.6007,59.9
SD-003,Aurora County,43.3917,9,-2.3024,45.7
SD-005,Beadle County,42.2167,11,-2.2558,44.5
SD-007,Bennett County,44.375,19,-1.6776,46.1
SD-009,Bon Homme County,45.825,21,-1.4811,47.3
SD-011,Brookings County,40.9333,17,-1.8922,42.8
SD-013,Brown County,40.0917,18,-1.9683,42.1
SD-015,Brule County,44.2667,17,-1.8086,46.1
SD-017,Buffalo County,42.6333,8,-2.5793,45.2
SD-019,Butte County,42.1583,12,-2.3834,44.5
SD-021,Campbell County,39.3583,7,-3.1943,42.6
SD-023,Charles Mix County,45.675,20,-1.736,47.4
SD-025,Clark County,40.4167,18,-1.8582,42.3
SD-027,Clay County,45.5417,20,-1.4702,47
SD-029,Codington County,39.5,17,-1.7705,41.3
SD-031,Corson County,40.0667,8,-3.0475,43.1
SD-033,Custer County,43.1917,18,-1.5746,44.8
SD-035,Davison County,43.2,5,-2.9311,46.1
SD-037,Day County,38.9583,14,-2.2374,41.2
SD-039,Deuel County,39.975,16,-1.873,41.8
SD-041,Dewey County,41.4583,9,-2.7439,44.2
SD-043,Douglas County,44.4833,14,-2.126,46.6
SD-045,Edmunds County,39.6333,6,-2.8418,42.5
SD-047,Fall River County,44.55,15,-1.9425,46.5
SD-049,Faulk County,40.1667,6,-2.8574,43
SD-051,Grant County,40.4667,19,-1.6608,42.1
SD-053,Gregory County,45.5333,21,-1.5198,47.1
SD-055,Haakon County,43.125,6,-2.8181,45.9
SD-057,Hamlin County,40.2333,21,-1.6467,41.9
SD-059,Hand County,41.2083,6,-2.8557,44.1
SD-061,Hanson County,43.1167,5,-2.8217,45.9
SD-063,Harding County,41.525,28,-1.2028,42.7
SD-065,Hughes County,42.6333,7,-2.7797,45.4
SD-067,Hutchinson County,44.75,24,-1.6511,46.4
SD-069,Hyde County,40.875,6,-2.8372,43.7
SD-071,Jackson County,44.425,11,-2.4995,46.9
SD-073,Jerauld County,41.9917,4,-2.9269,44.9
SD-075,Jones County,43.8167,8,-2.8346,46.7
SD-077,Kingsbury County,41.3667,20,-1.8557,43.2
SD-079,Lake County,42.0833,17,-1.8284,43.9
SD-081,Lawrence County,39.6833,6,-2.6331,42.3
SD-083,Lincoln County,44.5333,28,-1.1665,45.7
SD-085,Lyman County,44.0667,10,-2.4003,46.5
SD-087,McCook County,43.6583,27,-1.5187,45.2
SD-089,McPherson County,38.4667,6,-3.0055,41.5
SD-091,Marshall County,38.4583,9,-2.7149,41.2
SD-093,Meade County,42.7167,9,-2.5261,45.2
SD-095,Mellette County,44.8667,15,-2.2885,47.2
SD-097,Miner County,42.2333,8,-2.4439,44.7
SD-099,Minnehaha County,44.075,45,-0.4984,44.6
SD-101,Moody County,42.0917,23,-1.6268,43.7
SD-102,Oglala Lakota County,45.2333,18,-1.4589,46.7
SD-103,Pennington County,42.825,14,-2.0986,44.9
SD-105,Perkins County,40.4833,12,-2.4137,42.9
SD-107,Potter County,40.5,8,-2.5506,43.1
SD-109,Roberts County,40.075,17,-1.7811,41.9
SD-111,Sanborn County,42.475,5,-3.0239,45.5
SD-115,Spink County,41.3,13,-2.1943,43.5
SD-117,Stanley County,43.1,9,-2.7865,45.9
SD-119,Sully County,41.75,8,-2.6437,44.4
SD-121,Todd County,44.775,17,-1.8317,46.6
SD-123,Tripp County,45.4333,23,-1.5481,47
SD-125,Turner County,44.8333,29,-1.0696,45.9
SD-127,Union County,45.5833,24,-1.3644,46.9
SD-129,Walworth County,40.0417,7,-2.7646,42.8
SD-135,Yankton County,45.5833,28,-1.2286,46.8
SD-137,Ziebach County,41.95,11,-2.5041,44.5
TN-001,Anderson County,59.375,127,2.6914,56.7
TN-003,Bedford County,60.625,124,2.2288,58.4
TN-005,Benton County,60.225,119,1.796,58.4
TN-007,Bledsoe County,59.1083,126,2.8066,56.3
TN-009,Blount County,59.7833,126,2.3529,57.4
TN-011,Bradley County,61.6917,127,2.7526,58.9
TN-013,Campbell County,57.2833,125,2.2022,55.1
TN-015,Cannon County,59.95,125,2.4469,57.5
TN-017,Carroll County,60.075,115,1.6077,58.5
TN-019,Carter County,55.5833,128,2.7702,52.8
TN-021,Cheatham County,60.225,122,2.2776,57.9
TN-023,Chester County,60.85,120,1.771,59.1
TN-025,Claiborne County,56.7,109,1.2705,55.4
TN-027,Clay County,59.525,123,2.3782,57.1
TN-029,Cocke County,59.5167,128,2.8339,56.7
TN-031,Coffee County,59.525,121,2.1161,57.4
TN-033,Crockett County,60.7167,117,1.7487,59
TN-035,Cumberland County,57.2333,125,2.4932,54.7
TN-037,Davidson County,60.85,123,2.4921,58.4
TN-039,Decatur County,61.0333,122,1.9522,59.1
TN-041,DeKalb County,59.9417,125,2.3549,57.6
TN-043,Dickson County,59.475,122,2.0393,57.4
TN-045,Dyer County,60.325,108,1.3344,59
TN-047,Fayette County,61.6083,115,1.5405,60.1
TN-049,Fentress County,58.2417,128,3.6941,54.5
TN-051,Franklin County,59.9167,119,1.9678,57.9
TN-053,Gibson County,60.175,115,1.5185,58.7
TN-055,Giles County,60.5667,122,2.1499,58.4
TN-057,Grainger County,58.6,124,2.0386,56.6
TN-059,Greene County,59.2917,128,2.6281,56.7
TN-061,Grundy County,58.075,125,2.3351,55.7
TN-063,Hamblen County,59.6167,127,2.4503,57.2
TN-065,Hamilton County,61.575,127,2.8834,58.7
TN-067,Hancock County,57.45,118,1.7216,55.7
TN-069,Hardeman County,61.1833,116,1.6914,59.5
TN-071,Hardin County,61.2417,117,1.7603,59.5
TN-073,Hawkins County,58.85,127,2.3592,56.5
TN-075,Haywood County,61.1917,119,1.8252,59.4
TN-077,Henderson County,60.6167,119,1.8549,58.8
TN-079,Henry County,59.4667,109,1.2708,58.2
TN-081,Hickman County,59.875,122,2.0146,57.9
TN-083,Houston County,59.625,120,1.8453,57.8
TN-085,Humphreys County,59.8833,122,1.9124,58
TN-087,Jackson County,59.75,122,2.1594,57.6
TN-089,Jefferson County,60.3667,128,2.8462,57.5
TN-091,Johnson County,53.9583,128,2.6568,51.3
TN-093,Knox County,60.3583,126,2.5369,57.8
TN-095,Lake County,59.6833,93,0.8904,58.8
TN-097,Lauderdale County,61.275,114,1.5805,59.7
TN-099,Lawrence County,60.725,126,2.6738,58.1
TN-101,Lewis County,60.1917,124,2.4572,57.7
TN-103,Lincoln County,60.7083,119,1.8263,58.9
TN-105,Loudon County,60.9,127,2.5677,58.3
TN-107,McMinn County,61.4,128,2.9648,58.4
TN-109,McNairy County,60.95,112,1.4577,59.5
TN-111,Macon County,58.8917,117,1.7623,57.1
TN-113,Madison County,60.8333,120,1.8442,59
TN-115,Marion County,59.95,121,2.2189,57.7
TN-117,Marshall County,60.4667,122,2.1877,58.3
TN-119,Maury County,60.3,122,2.2748,58
TN-121,Meigs County,61.3083,128,2.9674,58.3
TN-123,Monroe County,59.975,128,2.5578,57.4
TN-125,Montgomery County,60.1667,122,2.4784,57.7
TN-127,Moore County,60.325,120,2.0176,58.3
TN-129,Morgan County,58.4833,128,3.1814,55.3
TN-131,Obion County,59.1583,91,0.7637,58.4
TN-133,Overton County,59.0333,127,2.8952,56.1
TN-135,Perry County,60.6333,122,2.1002,58.5
TN-137,Pickett County,59.3833,128,3.5138,55.9
TN-139,Polk County,60.5083,127,2.4694,58
TN-141,Putnam County,59.05,125,2.4985,56.6
TN-143,Rhea County,60.1833,126,2.8251,57.4
TN-145,Roane County,60.6083,128,2.8171,57.8
TN-147,Robertson County,59.6833,122,2.1634,57.5
TN-149,Rutherford County,60.8083,124,2.4159,58.4
TN-151,Scott County,57.5,128,2.9972,54.5
TN-153,Sequatchie County,59.15,126,2.682,56.5
TN-155,Sevier County,58.1333,126,2.3932,55.7
TN-157,Shelby County,62.3333,105,1.2545,61.1
TN-159,Smith County,59.8417,118,1.7583,58.1
TN-161,Stewart County,59.4833,115,1.5857,57.9
TN-163,Sullivan County,58.1583,128,2.7466,55.4
TN-165,Sumner County,59.6417,118,1.986,57.7
TN-167,Tipton County,61.7583,112,1.4688,60.3
TN-169,Trousdale County,59.9083,118,1.9137,58
